,index,article
27,28,"(d) you may not, and you agree not to or enable others to, copy (except as expressly permitted by this license), decompile, reverse engineer, disassemble, attempt to derive the source code of, decrypt, modify, or create derivative works of the apple software or any services provided by the apple software or any part thereof (except as and only to the extent any foregoing restriction is prohibited by applicable law or by licensing terms governing use of open-source components that may be included with the apple software)."
28,29,"you agree not to remove, obscure, or alter any proprietary notices (including trademark and copyright notices) that may be a?xed to or contained within the apple software (e) the apple software may be used to reproduce materials so long as such use is limited to reproduction of non-copyrighted materials, materials in which you own the copyright, or materials you are authorized or legally permitted to reproduce."
29,30,"title and intellectual property rights in and to any content displayed by, stored on or accessed through your device belong to the respective content owner."
30,31,"such content may be protected by copyright or other intellectual property laws and treaties, and may be subject to terms of use of the third party providing such content."
31,32,"except as otherwise provided herein, this license does not grant you any rights to use such content nor does it guarantee that such content will continue to be available to you"
32,33,"(f) subject to the terms and conditions of this license, you may use the animoji and memoji characters included in or created with the apple software (“system characters”) (i) while running the apple software and (ii) to create your own original content and projects for your personal, non-commercial use."
33,34,"no other use of the system characters is permitted by this license, including but not limited to the use, reproduction, display, performance, recording, publishing or redistribution of any of the system characters in a pro?t, non-pro?t, public sharing or commercial context."
34,35,"(g) in order to complete certain app and/or website action shortcuts (“shortcuts”), the apple software may need to access certain third party software applications, services or websites on your device (“third party apps”)."
35,36,you expressly consent to and authorize the apple software to access and use these third party apps on your behalf to the extent necessary to complete the shortcut with the apple software.
36,37,"you agree not to upload, post, e-mail, transmit, share or otherwise make available any shortcut that is o?ensive, inappropriate or for any unlawful or illegal activity."
37,38,"you further agree not to interfere with, disrupt, or create an undue burden on servers or networks connected to the apple software or any third party apps or violate the regulations, policies or procedures of such networks or third party apps."
38,39,"to the extent that the apple software accesses any third party apps, apple has no express or implied obligation to provide any technical or other support for such third party apps."
39,40,"please contact the appropriate software vendor, manufacturer or service provider directly for technical support and customer service related to its software, service, website and/or products."
40,41,"you agree you shall be bound by, and agree to comply with, all applicable terms of service or other agreements for such third party apps when using the apple software."
41,42,you are solely responsible for ensuring that all shortcuts comply with the applicable terms for each third party app used by the shortcut.
42,43,apple does not guarantee in any way that shortcuts comply with the terms for any third party apps and apple is not responsible for any third party shortcuts.
43,44,"(h) you agree to use the apple software and the services (as de?ned in section 5 below) in compliance with all applicable laws, including local laws of the country or region in which you reside or in which you download or use the apple software and services."
44,45,"features of the apple software and the services may not be available in all languages or regions, some features may vary by region, and some may be restricted or unavailable from your service provider."
45,46,a wi-fi or cellular data connection is required for some features of the apple software and services.
46,47,"(i) use of the app store requires a unique user name and password combination, known as an apple id."
47,48,"an apple id is also required to access app updates and certain features of the apple software and services (j) you acknowledge that many features, built-in apps, and services of the apple software transmit data and could impact charges to your data plan, and that you are responsible for any such charges."
48,49,you can view and control which applications are permitted to use cellular data and view an estimate of how much data such applications have consumed under cellular data settings.
49,50,"in addition, wi-fi assist will automatically switch to cellular when you have a poor wi-fi connection, which might result in more cellular data use and impact charges to your data plan."
50,51,"wi-fi assist is on by default, but can be disabled under settings."
51,52,"for more information, please consult the user guide for your device."
52,53,"(k) if you choose to allow automatic app updates, your device will periodically check with apple for updates to the apps on your device and, if one is available, the update will automatically download and install onto your device."
53,54,you can turn o?
54,55,"the automatic app updates altogether at any time by going to settings, tap itunes & app store, and under automatic downloads, turn o?"
55,56,updates.
56,57,"(l) using your device in some circumstances can distract you and may cause a dangerous situation (for example, avoid typing a text message while driving a car or using headphones while riding a bicycle)."
57,58,by
58,59,"using your device you agree that you are responsible for observing rules that prohibit or restrict the use of mobile phones or headphones (for example, the requirement to use hands-free options for making calls when driving)."
59,60,3. transfer.
60,61,"you may not rent, lease, lend, sell, redistribute, or sublicense the apple software."
61,62,"you may, however, make a one-time permanent transfer of all of your license rights to the apple software to another party in connection with the transfer of ownership of your device, provided that: (a) the transfer must include your device and all of the apple software, including all its component parts and this license; (b) you do not retain any copies of the apple software, full or partial, including copies stored on a computer or other storage device; and (c) the party receiving the apple software reads and agrees to accept the terms and conditions of this license."
62,63,4. consent to use of data.
63,64,"when you use your device, your phone number and certain unique identi?ers for your device are sent to apple in order to allow others to reach you by your phone number when using various communication features of the apple software, such as imessage and facetime."
64,65,"when you use imessage, apple may hold your messages in encrypted form for a limited period of time in order to ensure their delivery."
65,66,you may turn o?
66,67,facetime or imessage by going to the facetime or messages settings on your device.
67,68,"certain features like analytics, location services, siri, and dictation may require information from your device to provide their respective functions."
68,69,"when you turn on or use these features, details will be provided regarding what information is sent to apple and how the information may be used."
69,70,you can learn more by visiting https://www.apple.com/privacy/.
70,71,"at all times your information will be treated in accordance with apple’s privacy policy, which can be viewed at: https://www.apple.com/legal/privacy/."
71,72,5. services and third party materials.
72,73,"(a) the apple software may enable access to apple’s itunes store, app store, apple books, game center, icloud, maps and other apple and third party services and web sites (collectively and individually, “services”)."
73,74,such services may not be available in all languages or in all countries.
74,75,"use of these services requires internet access and use of certain services may require an apple id, may require you to accept additional terms and may be subject to additional fees."
75,76,"by using this software in connection with an apple id, or other apple service, you agree to the applicable terms of service for that service, such as the latest apple media services terms and conditions for the country in which you access such services, which you may access and review at https://www.apple.com/legal/internetservices/itunes/."
76,77,"(b) if you sign up for icloud, certain icloud features like “icloud photos”, “my photo stream”, “shared albums”, “back up” and “find my iphone” may be accessed directly from the apple software."
77,78,"you acknowledge and agree that your use of icloud and these features is subject to the latest terms and conditions of the icloud service, which you may access and review at: https://www.apple.com/legal/ internet-services/icloud/."
78,79,(c) news app content.
79,80,"your use of content accessed through the news application is limited solely to personal, noncommercial use, does not transfer any ownership interest to you in the content, and speci?cally excludes, without limitation, any commercial or promotional use rights in such content."
80,81,"furthermore, you are prohibited from republishing, retransmitting and reproducing any images accessed through news as a stand-alone ?le."
81,82,(d) maps.
82,83,"the maps service and features of the apple software (“maps”), including map data coverage, may vary by region."
83,84,"when you use any location-based features within maps, such as turn-by-turn navigation, tra?c and local search, various location-related and usage information may be sent to apple, including the real-time geographic location of your device, in order to process your request and help improve maps."
84,85,such location and usage data is collected by apple in a form that does not personally
85,86,identify you.
86,87,"by using maps, you agree and consent to apple’s and its subsidiaries’ and agents’ transmission, collection, maintenance, processing, and use of this information, to provide and improve the maps features and service, and other apple products and services."
87,88,"apple may also provide such information, in either an aggregated or non personally identi?able form, to its partners and licensees to help improve their map and location-based products and services."
88,89,you may disable the location-based functionality of maps by going to the location services setting on your device and turning o?
89,90,the individual location setting for maps.
90,91,"certain maps features will however be unavailable if you disable the location services setting, such as turn-by-turn navigation."
91,92,"(e) you understand that by using any of the services, you may encounter content that may be deemed o?ensive, indecent, or objectionable, which content may or may not be identi?ed as having explicit language, and that the results of any search or entering of a particular url may automatically and unintentionally generate links or references to objectionable material."
92,93,"nevertheless, you agree to use the services at your sole risk and that apple, its a?liates, agents, principals, or licensors shall have no liability to you for content that may be found to be o?ensive, indecent, or objectionable (f) certain services may display, include or make available content, data, information, applications or materials from third parties (“third party materials”) or provide links to certain third party web sites."
93,94,"by using the services, you acknowledge and agree that apple is not responsible for examining or evaluating the content, accuracy, completeness, timeliness, validity, copyright compliance, legality, decency, quality or any other aspect of such third party materials or web sites."
94,95,"apple, its o?cers, a?liates and subsidiaries do not warrant or endorse and do not assume and will not have any liability or responsibility to you or any other person for any third-party services, third party materials or web sites, or for any other materials, products, or services of third parties."
95,96,"third party materials and links to other web sites are provided solely as a convenience to you (g) neither apple nor any of its content providers guarantees the availability, accuracy, completeness, reliability, or timeliness of stock information, location data or any other data displayed by any services."
96,97,financial information displayed by any services is for general informational purposes only and should not be relied upon as investment advice.
97,98,"before executing any securities transaction based upon information obtained through the services, you should consult with a ?nancial or securities professional who is legally quali?ed to give ?nancial or securities advice in your country or region."
98,99,"location data provided by any services, including the apple maps service, is provided for basic navigational and planning purposes only and is not intended to be relied upon in situations where precise location information is needed or where erroneous, inaccurate, time-delayed or incomplete location data may lead to death, personal injury, property or environmental damage."
99,100,"you agree that, the results you receive from the maps service may vary from actual road or terrain conditions due to factors that can a?ect the accuracy of the maps data, such as, but not limited to, weather, road and tra?c conditions, and geopolitical events."
100,101,"for your safety when using the navigation feature, always pay attention to posted road signs and current road conditions."
101,102,"follow safe driving practices and tra?c regulations, and note that walking directions may not include sidewalks or pedestrian paths."
102,103,"(h) to the extent that you upload any content through the use of the services, you represent that you own all rights in, or have authorization or are otherwise legally permitted to upload, such content and that such content does not violate any terms of service applicable to the services."
103,104,"you agree that the services contain proprietary content, information and material that is owned by apple, the site owner or their licensors, and is protected by applicable intellectual property and other laws, including but not limited to copyright."
104,105,"you agree that you will not use such proprietary content, information or materials other than for permitted use of the services or in any manner that is inconsistent with the terms of this license or that infringes any intellectual property rights of a third party or apple."
105,106,no portion of the services may be reproduced in any form or by any means.
106,107,"you agree not to modify, rent, lease, loan, sell, distribute, or create derivative works based on the services, in any manner, and you shall not exploit"
107,108,"the services in any unauthorized way whatsoever, including but not limited to, using the services to transmit any computer viruses, worms, trojan horses or other malware, or by trespass or burdening network capacity."
108,109,"you further agree not to use the services in any manner to harass, abuse, stalk, threaten, defame or otherwise infringe or violate the rights of any other party, and that apple is not in any way responsible for any such use by you, nor for any harassing, threatening, defamatory, o?ensive, infringing or illegal messages or transmissions that you may receive as a result of using any of the services."
109,110,"(i) in addition, services and third party materials that may be accessed, linked to or displayed on the device are not available in all languages or in all countries or regions."
110,111,apple makes no representation that such services and third party materials are appropriate or available for use in any particular location.
111,112,"to the extent you choose to use or access such services and third party materials, you do so at your own initiative and are responsible for compliance with any applicable laws, including but not limited to applicable local laws and privacy and data collection laws."
112,113,"sharing or syncing photos through your device may cause metadata, including where and when the photo was taken, and depth information, to be transmitted with the photos."
113,114,use of apple services (such as icloud photo library) to share or sync such photos will involve apple receiving and storing such metadata.
114,115,"apple and its licensors reserve the right to change, suspend, remove, or disable access to any services at any time without notice."
115,116,in no event will apple be liable for the removal of or disabling of access to any such services.
116,117,"apple may also impose limits on the use of or access to certain services, in any case and without notice or liability 6. termination."
117,118,this license is e?ective until terminated.
118,119,your rights under this license will terminate automatically or otherwise cease to be e?ective without notice from apple if you fail to comply with any term(s) of this license.
119,120,"upon the termination of this license, you shall cease all use of the apple software."
120,121,"sections 4, 5, 6, 7, 8, 9, 12 and 13 of this license shall survive any such termination."
121,122,"7. disclaimer of warranties 7.1     if you are a customer who is a consumer (someone who uses the apple software outside of your trade, business or profession), you may have legal rights in your country of residence which would prohibit the following limitations from applying to you, and where prohibited they will not apply to you."
122,123,"to ?nd out more about rights, you should contact a local consumer advice organization."
123,124,"7.2     you expressly acknowledge and agree that, to the extent permitted by applicable law, use of the apple software and any services performed by or accessed through the apple software is at your sole risk and that the entire risk as to satisfactory quality, performance, accuracy and effort is with you 7.3     to the maximum extent permitted by applicable law, the apple software and services are provided “as is” and “as available”, with all faults and without warranty of any kind, and apple and apple’s licensors (collectively referred to as “apple” for the purposes of sections 7 and 8) hereby disclaim all warranties and conditions with respect to the apple software and services, either express, implied or statutory, including, but not limited to, the implied warranties and/or conditions of merchantability, satisfactory quality, fitness for a particular purpose, accuracy, quiet enjoyment, and non-infringement of third party rights 7.4     apple does not warrant against interference with your enjoyment of the apple software and services, that the functions contained in, or services performed or provided by, the apple software will meet your requirements, that the operation of the apple software and services will be uninterrupted or errorfree, that any service will continue to be made available, that defects in the apple"
124,125,"software or services will be corrected, or that the apple software will be compatible or work with any third party software, applications or third party services."
125,126,"installation of this apple software may affect the availability and usability of third party software, applications or third party services, as well as apple products and services 7.5     you further acknowledge that the apple software and services are not intended or suitable for use in situations or environments where the failure or time delays of, or errors or inaccuracies in, the content, data or information provided by the apple software or services could lead to death, personal injury, or severe physical or environmental damage, including without limitation the operation of nuclear facilities, aircraft navigation or communication systems, air traffic control, life support or weapons systems 7.6     no oral or written information or advice given by apple or an apple authorized representative shall create a warranty."
126,127,"should the apple software or services prove defective, you assume the entire cost of all necessary servicing, repair or correction."
127,128,"some jurisdictions do not allow the exclusion of implied warranties or limitations on applicable statutory rights of a consumer, so the above exclusion and limitations may not apply to you 8. limitation of liability."
128,129,"to the extent not prohibited by applicable law, in no event shall apple, its affiliates, agents or principals be liable for personal injury, or any incidental, special, indirect or consequential damages whatsoever, including, without limitation, damages for loss of profits, corruption or loss of data, failure to transmit or receive any data (including without limitation course instructions, assignments and materials), business interruption or any other commercial damages or losses, arising out of or related to your use or inability to use the apple software and services or any third party software, applications or services in conjunction with the apple software or services, however caused, regardless of the theory of liability (contract, tort or otherwise) and even if apple has been advised of the possibility of such damages."
129,130,"some jurisdictions do not allow the exclusion or limitation of liability for personal injury, or of incidental or consequential damages, so this limitation may not apply to you."
130,131,in no event shall apple’s total liability to you for all damages (other than as may be required by applicable law in cases involving personal injury) exceed the amount of two hundred and ?fty dollars (u.s.$250.00).
131,132,the foregoing limitations will apply even if the above stated remedy fails of its essential purpose.
132,133,9. digital certi?cates.
133,134,the apple software contains functionality that allows it to accept digital certi?cates either issued from apple or from third parties.
134,135,you are solely responsible for deciding whether or not to rely on a certificate whether issued by apple or a third party.
135,136,your use of digital certificates is at your sole risk.
136,137,"to the maximum extent permitted by applicable law, apple makes no warranties or representations, express or implied, as to merchantability or fitness for any particular purpose, accuracy, security, or non-infringement of third party rights with respect to digital certificates."
137,138,10. export control.
138,139,you may not use or otherwise export or re-export the apple software except as authorized by united states law and the laws of the jurisdiction(s) in which the apple software was obtained.
139,140,"in particular, but without limitation, the apple software may not be exported or re-exported (a) into any u.s. embargoed countries or (b) to anyone on the u.s. treasury department’s list of specially designated nationals or the u.s. department of commerce denied person’s list or entity list or any"
140,141,other restricted party lists.
141,142,"by using the apple software, you represent and warrant that you are not located in any such country or on any such list."
142,143,"you also agree that you will not use the apple software for any purposes prohibited by united states law, including, without limitation, the development, design, manufacture or production of missiles, nuclear, chemical or biological weapons."
143,144,11. government end users.
144,145,"the apple software and related documentation are “commercial items”, as that term is de?ned at 48 c.f.r."
145,146,"§2.101, consisting of “commercial computer software” and “commercial computer software documentation”, as such terms are used in 48 c.f.r."
146,147,§12.212 or 48 c.f.r.
147,148,"§227.7202, as applicable."
148,149,consistent with 48 c.f.r.
149,150,§12.212 or 48 c.f.r.
150,151,"§227.7202-1 through 227.7202-4, as applicable, the commercial computer software and commercial computer software documentation are being licensed to u.s. government end users (a) only as commercial items and (b) with only those rights as are granted to all other end users pursuant to the terms and conditions herein."
151,152,unpublished-rights reserved under the copyright laws of the united states.
152,153,12. controlling law and severability.
153,154,"this license will be governed by and construed in accordance with the laws of the state of california, excluding its con?ict of law principles."
154,155,"this license shall not be governed by the united nations convention on contracts for the international sale of goods, the application of which is expressly excluded."
155,156,"if you are a consumer based in the united kingdom, this license will be governed by the laws of the jurisdiction of your residence."
156,157,"if for any reason a court of competent jurisdiction ?nds any provision, or portion thereof, to be unenforceable, the remainder of this license shall continue in full force and e?ect."
157,158,13. complete agreement; governing language.
158,159,this license constitutes the entire agreement between you and apple relating to the apple software and supersedes all prior or contemporaneous understandings regarding such subject matter.
159,160,no amendment to or modi?cation of this license will be binding unless in writing and signed by apple.
160,161,"any translation of this license is done for local requirements and in the event of a dispute between the english and any non-english versions, the english version of this license shall govern, to the extent not prohibited by local law in your jurisdiction."
161,162,14. third party acknowledgements.
162,163,portions of the apple software may utilize or include third party software and other copyrighted material.
163,164,"acknowledgements, licensing terms and disclaimers for such material are contained in the electronic documentation for the apple software, and your use of such material is governed by their respective terms."
164,165,use of the google safe browsing service is subject to the google terms of service (https://www.google.com/intl/en/policies/terms/) and to google’s privacy policy (https://www.google.com/intl/en/policies/privacy/).
165,166,"15. use of mpeg-4; h.264/avc notice (a) the apple software is licensed under the mpeg-4 systems patent portfolio license for encoding in compliance with the mpeg-4 systems standard, except that an additional license and payment of royalties are necessary for encoding in connection with (i) data stored or replicated in physical media which is paid for on a title by title basis and/or (ii) data which is paid for on a title by title basis and is transmitted to an end user for permanent storage and/or use."
166,167,"such additional license may be obtained from mpeg la, llc."
167,168,see https://www.mpegla.com for additional details.
168,169,(b) the apple software contains mpeg-4 video encoding and/or decoding functionality.
169,170,the apple software is licensed under the mpeg-4 visual patent portfolio license for the personal and noncommercial use of a consumer for (i) encoding video in compliance with the mpeg-4 visual standard (“mpeg-4 video”) and/or (ii) decoding mpeg-4 video that was encoded by a consumer engaged in a personal and non-commercial activity and/or was obtained from a video provider licensed by mpeg la to provide mpeg-4 video.
170,171,no license is granted or shall be implied for any other use.
171,172,"additional information including that relating to promotional, internal and commercial uses and licensing may be obtained from mpeg la, llc."
172,173,see https://www.mpegla.com
173,174,"(c) the apple software contains avc encoding and/or decoding functionality, commercial use of h.264/ avc requires additional licensing and the following provision applies: the avc functionality in the apple software is licensed herein only for the personal and non-commercial use of a consumer to (i) encode video in compliance with the avc standard (“avc video”) and/or (ii) decode avc video that was encoded by a consumer engaged in a personal and non-commercial activity and/or avc video that was obtained from a video provider licensed to provide avc video."
174,175,information regarding other uses and licenses may be obtained from mpeg la l.l.c.
175,176,see https://www.mpegla.com 16. yahoo search service restrictions.
176,177,"the yahoo search service available through safari is licensed for use only in the following countries and regions: argentina, aruba, australia, austria, barbados, belgium, bermuda, brazil, bulgaria, canada, cayman islands, chile, china mainland, hong kong, taiwan, colombia, cyprus, czech republic, denmark, dominican republic, ecuador, el salvador, finland, france, germany, greece, grenada, guatemala, hungary, iceland, india, indonesia, ireland, italy, jamaica, japan, latvia, lithuania, luxembourg, malaysia, malta, mexico, netherlands, new zealand, nicaragua, norway, panama, peru, philippines, poland, portugal, puerto rico, romania, singapore, slovakia, slovenia, south korea, spain, st. lucia, st. vincent, sweden, switzerland, thailand, the bahamas, trinidad and tobago, turkey, uk, uruguay, us and venezuela."
177,178,17. microsoft exchange notice.
178,179,"the microsoft exchange mail setting in the apple software is licensed only for over-the-air synchronization of information, such as email, contacts, calendar and tasks, between your device and microsoft exchange server or other server software licensed by microsoft to implement the microsoft exchange activesync protocol."
179,180,"ea1636 6/25/2019 ——————————— apple pay supplemental terms and conditions these apple pay supplemental terms and conditions (these “supplemental terms”) supplement the apple software license agreement (the “license”); both the terms of the license and these supplemental terms govern your use of the apple pay feature, which shall be deemed a “service” under the license."
180,181,capitalized terms used in these supplemental terms have the meanings set forth in the license.
181,182,"1.     overview and use restrictions apple pay allows you to: •     store virtual representations of credit, debit, and prepaid cards, including store credit, debit, prepaid cards, and the apple pay cash card, which are supported by the apple pay feature (“supported payment cards”) and use supported devices to make contactless payments in select locations, or within apps or websites; •     use rewards and gift cards that are saved in wallet (“apple pay-enabled cards”, and together with supported payment cards, “supported cards”) to make contactless rewards and gift-card transactions in select stores as part of a contactless payment using apple pay; and •     send person to person payments to other apple pay users."
182,183,"the apple pay features of the apple software may only be available in select regions, with select card"
183,184,"issuers, ?nancial institutions, and merchants."
184,185,"features may vary by region, issuer, and merchant."
185,186,"to use apple pay, you must have a supported card."
186,187,supported cards may change from time to time.
187,188,"additionally, in order to send or receive person to person payments, you must have an apple pay cash card."
188,189,supported payment cards and person to person payments are associated with the apple id you have signed into icloud to use these features.
189,190,"supported cards are only available to individuals aged 13 years or older, and may be subject to additional age-based restrictions imposed by icloud or the supported card which you are trying to provision."
190,191,the apple pay cash card and the ability to send and receive person to person payments are only available to individuals aged 18 years or older.
191,192,apple pay is intended for your personal use and you may only provision your own supported cards.
192,193,"if you are provisioning a supported corporate card, you represent that you are doing so with the authorization of your employer and you are authorized to bind your employer to these terms of use and all transactions e?ected by use of this feature."
193,194,"if you are sending or receiving a person to person payment, you represent that you are doing so for your own personal, non-commercial use."
194,195,"you agree not to use apple pay for illegal or fraudulent purposes, or any other purposes which are prohibited by the license and these supplemental terms."
195,196,you further agree to use apple pay in accordance with applicable laws and regulations.
196,197,"you agree not to interfere with or disrupt the apple pay service (including accessing the service through any automated means), or any servers or networks connected to the service, or any policies, requirements, or regulations of networks connected to the service (including any unauthorized access to, use, or monitoring of data or tra?c thereon)."
197,198,2.     apple’s relationship with you apple pay enables you to create a virtual representation of your supported cards on your supported device.
198,199,"however apple does not process payments or other non-payment card transactions (such as reward accrual and redemption), receive, hold, or transfer your funds, or have any other control over payments, returns, refunds, rewards, value, discounts, or other commerce activity that may arise out of your use of this feature."
199,200,the terms of cardholder agreements you may have in place with your card issuer will continue to govern your use of your supported cards and their use in connection with apple pay.
200,201,"similarly, your participation in any merchant rewards or gift card programs and your use of apple pay-enabled cards in connection with apple pay will be subject to such merchant’s terms and conditions."
201,202,"the apple pay cash card and the ability to send and receive person to person payments are only available in the united states, and are services provided by green dot bank, member fdic."
202,203,"when you enable these features within apple pay, you are opening an account with green dot bank, and when you send or receive a person to person payment or load or withdraw money from your apple pay cash card, green dot bank will be responsible for receiving and sending your money to the intended recipient."
203,204,"the ?nancial institution responsible for o?ering apple pay cash and person to person payments within apple pay is subject to change, and your use of such features are subject to their terms and conditions."
204,205,"nothing in the license or these supplemental terms modi?es the terms of any cardholder, user, or merchant agreement, and such terms will govern your use of the applicable supported card or the person to person payment feature of apple pay and their virtual representation on your device."
205,206,"you agree that apple is not a party to your cardholder or merchant agreements, nor is apple responsible for the: (a) content, accuracy or unavailability of any payment cards, rewards cards, gift cards, commerce activities, transactions, or purchases while using apple pay functionality; (b) issuance of credit or"
206,207,"assessing eligibility for credit; (c) accrual or redemption of rewards or stored value under a merchant’s program; (d) funding or reloading of prepaid cards; (e) sending or receiving of person to person payments; or (f) loading, redeeming, or withdrawing money from your apple pay cash card."
207,208,"for all disputes or questions about payment cards, rewards cards, gift cards, or associated commerce activity, please contact your issuer or the applicable merchant."
208,209,"for questions regarding the apple pay cash card or person to person payments, please contact apple support."
209,210,3.     privacy apple pay requires some information from your device in order to o?er the full experience.
210,211,"additionally, when you use your apple pay cash card or send or receive person to person payments, additional information about your transactions is collected and retained to service your account and fraud prevention and regulatory purposes."
211,212,"you can ?nd more information on the data collected, used, or shared as part of your use of apple pay, the apple pay cash card, or person to person payments with apple pay by reading about apple pay and privacy (which can be accessed by going to wallet & apple pay on your device, or within the watch app on a paired device) or by visiting https://www.apple.com/ privacy."
212,213,"by using these features, you agree and consent to apple’s and its subsidiaries’ and agents’ transmission, collection, maintenance, processing, and use of all of the foregoing information, to provide apple pay functionality."
213,214,"4.     security; lost or disabled devices apple pay stores virtual representations of your supported cards and should be protected as you would protect cash or your physical credit, debit, prepaid, rewards, or gift cards."
214,215,"providing your device passcode to a third party or allowing a third party to add their ?ngerprint to use touch id or enable face id may result in their ability to make payments, send, request, or receive person to person payments, withdraw money from your apple pay cash card, or receive or redeem rewards or credit using apple pay on your device."
215,216,you are solely responsible for maintaining the security of your device and of your passcode.
216,217,you agree that apple does not have any responsibility if you lose or share access to your device.
217,218,you agree that apple does not have any responsibility if you make unauthorized modi?cations to the apple software (such as by way of a “jailbreak”).
218,219,"you may need to enable additional security measures, such as two-factor authentication for your apple id, in order to access particular features of apple pay, including the apple pay cash card and person to person payments with apple pay."
219,220,"if you subsequently remove those security features, you may not be able to continue to access particular features of apple pay."
220,221,"if your device is lost or stolen and you have find my iphone enabled, you can use find my iphone to attempt to suspend the ability to pay with the virtual supported payment cards or sending person to person payments on that device by putting it into lost mode."
221,222,"you can also erase your device, which will attempt to suspend the ability to pay with the virtual supported payment cards or send person to person payments on the device and will also attempt to remove the apple pay-enabled cards."
222,223,"you should also contact the issuer of your supported payment cards, the merchant who issued your apple pay-enabled cards, and apple in the case of your apple pay cash card in order to prevent unauthorized access to your supported cards."
223,224,"if you report or apple suspects fraudulent or abusive activity, you agree to cooperate with apple in any investigation and to use any fraud prevention measures we prescribe."
224,225,5.     limitation of liability
225,226,"in addition to the disclaimers of warranties and limitation of liability set forth in the license, apple does not assume any liability for purchases, payments, transactions, or other commerce activity made using the apple pay feature, and you agree to look solely to agreements you may have with your card issuer, payment network, financial institutions, or merchant to resolve any questions or disputes relating to your supported cards, person to person payments, and associated commerce activity."
226,227,"———————————— notices from apple if apple needs to contact you about your product or account, you consent to receive the notices by email."
227,228,you agree that any such notices that we send you electronically will satisfy any legal communication requirements.
